tool	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0
run set	logger.select-points	logger.select-points	logger.select-points	logger.select-points
test/logger/	status	cputime (s)	walltime (s)	memory (MB)
svp_simple_001_001.yml	true	4.204432008	4.25853939098306	182.341632
svp_simple_002_001.yml	true	4.038163951	4.104057235992514	172.978176
svp_simple_003_001.yml	true	9.377749157	9.430233519989997	441.020416
svp_simple_004_001.yml	true	5.471377051	5.518454947014106	251.977728
svp_simple_005_001.yml	OUT OF MEMORY	356.9944648	357.6414755269943	16000.000000
svp_simple_006_001.yml	OUT OF MEMORY	538.334556493	538.9352227789932	16000.000000
svp_simple_007_001.yml	true	13.239599363	13.40416801799438	424.046592
svp_simple_008_001.yml	true	37.327440613	37.40412650699727	1594.830848
svp_simple_009_001.yml	true	1366.498443422	1367.871118793002	15032.311808
svp_simple_010_001.yml	true	4.561914975	4.601588359015295	169.975808
svp_simple_011_001.yml	true	5.132281134	5.162250945984852	193.544192
svp_simple_012_001.yml	true	5.974001179	6.007715591986198	213.843968
svp_simple_013_001.yml	true	6.773836961	6.818533073004801	238.411776
svp_simple_014_001.yml	true	17.542327036	17.585059957025805	702.951424
svp_simple_015_001.yml	true	25.151937729	25.212630106980214	834.564096
svp_simple_016_001.yml	true	3.830183905	3.8479135140078142	162.721792
svp_simple_017_001.yml	true	4.609215716	4.646316088997992	173.264896
svp_simple_018_001.yml	true	4.744793421	4.775149624998448	170.983424
svp_simple_019_001.yml	true	3.556847499	3.590411684010178	161.337344
svp_simple_020_001.yml	true	3.632557668	3.668902839999646	162.136064
svp_simple_021_001.yml	true	5.316778262	5.347460238990607	203.616256
svp_simple_022_001.yml	true	4.646329729	4.668457288003992	176.824320
svp_simple_023_001.yml	true	19.016546959	19.044252859981498	652.746752
